disease_id,disease_name,generated_sentence
1,뇌수막염,"사실 커니그 징후, 경부 경직, 브루진스키 징후이(가) 생겼다고 하기엔 애매한데, 느낌은 좀 그래요."
1,뇌수막염,두통이(가) 심해져 잠을 제대로 이루지 못하고 있습니다.
1,뇌수막염,눈부심 조금 생겼어. 분홍색 발진 느낌 있음. 보라색 발진 생겼어요.
1,뇌수막염,"커니그 징후, 보라색 발진이(가) 안 사라지고 계속돼."
1,뇌수막염,"아 뭐랄까, 커니그 징후, 경부 경직, 분홍색 발진이(가) 계속 있긴 한데, 이게 뭐 큰 문제는 아니겠죠?"
1,뇌수막염,뇌수막염 걸렸을까?
1,뇌수막염,뇌수막염일 수도?
1,뇌수막염,뇌수막염 걱정돼서 검사 고민 중이야.
1,뇌수막염,뇌수막염 걸리면 좀 골치 아파질 것 같긴 해요.
1,뇌수막염,"이상하게 보라색 발진, 분홍색 발진이(가) 자꾸 생각나서, 그게 좀 신경 쓰여요."
1,뇌수막염,요즘 뇌수막염 심각하다고 하더라.
1,뇌수막염,전문가들이 뇌수막염 조심하래.
1,뇌수막염,"뇌수막염이(가) 심각하다고 뉴스 나오더라고요, 좀 겁나긴 하네."
1,뇌수막염,"별 일 없을 거라고 생각은 하는데, 뇌수막염이라면 좀 문제잖아요."
1,뇌수막염,뇌수막염 걸린 거 같음.
1,뇌수막염,점출혈 발진 생겼어.
1,뇌수막염,뇌수막염 관련 뉴스가 자주 보입니다.
1,뇌수막염,뇌수막염 걸렸다고 확정된 것도 아닌데 괜히 불안해져요.
1,뇌수막염,계절 변화에 따라 보라색 발진이(가) 악화되고 있습니다.
1,뇌수막염,뇌수막염이라고 해야 하나요?
1,뇌수막염,요즘 분홍색 발진 관련 증상이 많아졌어. 요즘 브루진스키 징후이(가) 자주 생겨. 저녁 되면 보라색 발진이(가) 더 심해져.
1,뇌수막염,뇌수막염 맞아요?
1,뇌수막염,"뇌수막염이면 큰일이라는 얘기 들었는데, 막 확 와닿진 않아요."
1,뇌수막염,뇌수막염 걸린 것 같기도 하고 아닌 것 같기도 해요.
1,뇌수막염,뇌수막염인 듯?
1,뇌수막염,커니그 징후 있는 거 같음.
1,뇌수막염,뇌수막염 같은 거 아님?
1,뇌수막염,"커니그 징후이(가) 있긴 있는데 병원 갈 정도까진 아닌 거 같기도 해. 솔직히 두통이(가) 있긴 해요, 근데 신경 쓸 정도인지는 잘 모르겠어. 그냥 브루진스키 징후이(가) 좀 느껴지는 거 같아, 막 심한 건 아니고."
1,뇌수막염,브루진스키 징후 있는 거 같음.
1,뇌수막염,뇌수막염이(가) 유행하고 있다는 소식을 접했습니다.
1,뇌수막염,"몸에 두통 같은 게 생긴 거 같거든요, 아 근데 잘 모르겠어."
1,뇌수막염,뇌수막염 걱정해야 해요?
1,뇌수막염,보라색 발진이(가) 막 심한 건 아닌데 계속 찝찝해.
1,뇌수막염,아무튼 뇌수막염이(가) 신경 쓰이긴 한다니까.
1,뇌수막염,계절 변화에 따라 점출혈 발진이(가) 악화되고 있습니다.
1,뇌수막염,뇌수막염 맞는 거냐?
1,뇌수막염,"아니 뭐, 뇌수막염 무섭긴 한데, 그냥 기분 탓일 수도 있겠지."
1,뇌수막염,뇌수막염 같은데요?
1,뇌수막염,뇌수막염 예방접종 할까 생각 중이야.
1,뇌수막염,뇌수막염이(가) 확산되고 있다는 얘기를 들었습니다.
1,뇌수막염,브루진스키 징후 생김. 경부 경직 약간 있음. 눈부심 생긴 것 같아요.
1,뇌수막염,"뇌수막염 검사 받을까 싶긴 한데, 또 괜찮은 것 같기도 하고요."
1,뇌수막염,"식사 후에 커니그 징후, 브루진스키 징후, 보라색 발진이(가) 발생하고 있습니다."
1,뇌수막염,전염성이 강한 뇌수막염이(가) 유행 중이라고 합니다.
1,뇌수막염,"점출혈 발진이(가) 원래 이랬나, 아니 좀 아닌 것 같기도 합니다. 커니그 징후 생겼는데, 그게 막 아픈 건 아니고 그냥 이상해. 사실 브루진스키 징후이(가) 생겼다고 하기엔 애매한데, 느낌은 좀 그래요."
1,뇌수막염,"그냥 두통이(가) 생겼다 없어졌다 하는 거 같긴 합니다만, 좀 그렇네요. 솔직히 눈부심이(가) 있긴 해요, 근데 신경 쓸 정도인지는 잘 모르겠어."
1,뇌수막염,"두통, 보라색 발진이(가) 사라지지 않고 지속되고 있습니다."
1,뇌수막염,브루진스키 징후 있어요. 점출혈 발진 조금 있는 것 같아요. 분홍색 발진 생겼어.
1,뇌수막염,밤마다 두통이(가) 심해져. 경부 경직이(가) 안 사라지고 계속돼. 점출혈 발진 증상이 계속되고 있어.
1,뇌수막염,경부 경직이(가) 며칠째 계속되고 있어.
1,뇌수막염,뇌수막염일 리 없죠?
1,뇌수막염,병원에서도 뇌수막염 검사를 권장한다고 들었습니다.
1,뇌수막염,"요즘 뇌수막염 검사 받는 사람 많아졌다던데, 나도 받아야 하나 싶어."
