category,disease,topk_accuracy,mrr_score,avg_rank
감염성 질환 및 바이러스성 질환,B형 간염,0.2333,0.0944,2.57
감염성 질환 및 바이러스성 질환,C형 간염,0.4,0.2833,1.58
감염성 질환 및 바이러스성 질환,감기,0.6333,0.4556,1.63
감염성 질환 및 바이러스성 질환,결핵,0.2667,0.1556,2.0
감염성 질환 및 바이러스성 질환,대상포진,0.6333,0.5278,1.37
감염성 질환 및 바이러스성 질환,방광염,0.2069,0.1494,1.67
감염성 질환 및 바이러스성 질환,부비동염(축농증),0.4,0.3056,1.58
감염성 질환 및 바이러스성 질환,세균성 장염,0.4,0.2056,2.25
감염성 질환 및 바이러스성 질환,수두,0.4828,0.3276,1.79
감염성 질환 및 바이러스성 질환,수족구병,0.1,0.0556,2.33
감염성 질환 및 바이러스성 질환,신우신염,0.0667,0.0333,2.0
감염성 질환 및 바이러스성 질환,요로감염,0.1,0.0333,3.0
감염성 질환 및 바이러스성 질환,위장염,0.0345,0.0345,1.0
감염성 질환 및 바이러스성 질환,인플루엔자,1.0,0.6667,1.73
감염성 질환 및 바이러스성 질환,장티푸스,0.2667,0.2111,1.5
감염성 질환 및 바이러스성 질환,코로나19,0.4667,0.2056,2.36
감염성 질환 및 바이러스성 질환,편도염,0.1333,0.0944,1.75
감염성 질환 및 바이러스성 질환,폐렴,0.6333,0.4,1.95
감염성 질환 및 바이러스성 질환,후두염,0.3448,0.1667,2.3
