disease_id,disease_name,generated_sentence
1,뇌수막염,뇌수막염이(가) 자꾸 생각나서 짜증나 죽겠어.
1,뇌수막염,주변에 뇌수막염 환자가 많아졌대.
1,뇌수막염,뇌수막염 걸린 거 같음.
1,뇌수막염,"별 일 없을 거라고 생각은 하는데, 뇌수막염이라면 좀 문제잖아요."
1,뇌수막염,주변 사람들도 뇌수막염 걱정하고 있어.
1,뇌수막염,아침마다 눈부심 증상이 나타나. 보라색 발진이(가) 점점 심해지는 것 같아. 가만히 있어도 두통이(가) 느껴져. 갑자기 브루진스키 징후이(가) 시작됐어. 쉬는 중인데도 커니그 징후이(가) 심해지고 있어. 밥 먹고 나면 분홍색 발진이(가) 생겨.
1,뇌수막염,"두통, 경부 경직 조금 생겼어."
1,뇌수막염,특별한 이유도 없이 커니그 징후이(가) 생겨. 특별한 이유도 없이 점출혈 발진이(가) 생겨. 요즘 브루진스키 징후 증상이 자주 생겨. 특별한 이유도 없이 두통이(가) 생겨. 보라색 발진이(가) 나타났어. 밤마다 눈부심이(가) 심해져. 경부 경직 때문에 집중이 안 돼.
1,뇌수막염,경부 경직이(가) 전보다 훨씬 심각해진 느낌이야. 계절 바뀔 때마다 보라색 발진이(가) 심해지는 것 같아. 밤마다 눈부심이(가) 심해져. 분홍색 발진이(가) 전보다 훨씬 심각해진 느낌이야.
1,뇌수막염,"처음엔 경부 경직이(가) 별거 아니었거든? 근데 지금 좀 심각한 것 같아요. 아 뭐랄까, 점출혈 발진이(가) 계속 있긴 한데, 이게 뭐 큰 문제는 아니겠죠? 이상하게 눈부심이(가) 자꾸 생각나서, 그게 좀 신경 쓰여요. 브루진스키 징후이(가) 아픈 것 같기도 한데, 이게 그냥 그런 거겠죠? 두통이(가) 계속 생겼다가 사라졌다가 하는 것 같기도 하고. 처음에는 커니그 징후이(가) 그냥 좀 그런 거였는데, 이게 계속돼. 보라색 발진이(가) 아픈 것 같기도 한데, 이게 그냥 그런 거겠죠?"
1,뇌수막염,"처음엔 브루진스키 징후, 보라색 발진, 커니그 징후, 두통, 경부 경직, 분홍색 발진이(가) 별거 아니었거든? 근데 지금 좀 심각한 것 같아요."
1,뇌수막염,"그냥 점출혈 발진, 브루진스키 징후, 보라색 발진, 커니그 징후, 경부 경직, 분홍색 발진이(가) 좀 느껴지는 거 같아, 막 심한 건 아니고."
