disease_id,disease_name,generated_sentence
1,뇌수막염,"몸에 피부 발적, 수두증 그리고 복부불편감 같은 증상이 나타났습니다. 뇌수막염인지 걱정돼요."
2,추간판탈출증(디스크),"콧물/코막힘, 전신 쇠약감 그리고 뇌출혈 증상이 나타나고 있어요. 혹시 추간판탈출증(디스크)일까요?"
3,파킨슨병,"갈증, 건성 수포음 그리고 전음성 난청로 고생하고 있어요. 파킨슨병 가능성이 있을까요?"
4,보툴리눔독소증,"숨 가쁨, 숨이 찬다, 경련성 하복부 통증 그리고 떨림 증세로 고생하고 있어요. 보툴리눔독소증 가능성이 있을까요?"
5,두통,"성장통 제외, 인두의붉음, 빛 또는 소리에 과민해짐 그리고 수유 장애로 고생하고 있어요. 두통 가능성이 있을까요?"
6,뇌하수체기능저하증(소아),"뼈 부러짐, 성장장애 그리고 혈당 상승로 고생하고 있어요. 뇌하수체기능저하증(소아) 가능성이 있을까요?"
7,얼굴마비(말초성 마비),"저린 감각이나 차가움, 심장 박동 빠름, 생리 간격의 길어짐 그리고 한쪽 팔다리 마비 때문에 일상생활이 힘들어요. 얼굴마비(말초성 마비)을 의심해볼 수 있나요?"
8,얼굴마비(중추성 마비),"동통, 눈꺼풀처짐 그리고 배변장애 때문에 일상생활이 힘들어요. 얼굴마비(중추성 마비)을 의심해볼 수 있나요?"
9,얼굴마비,"몸에 기관 압박, 색각 장애, 영구적인 신경학적 장애 그리고 안구 함몰 같은 증상이 나타났습니다. 얼굴마비인지 걱정돼요."
10,시신경염,"눈물이 줄거나 늘어짐, 청력 저하 그리고 대동맥 박리증로 고생하고 있어요. 시신경염 가능성이 있을까요?"
11,우울감,"만성 두통, 미세한 운동 장애, 요통 그리고 손 떨림로 고생하고 있어요. 우울감 가능성이 있을까요?"
12,실어증,"몸에 배꼽이상, 후두부의 이물감 그리고 저혈당 같은 증상이 나타났습니다. 실어증인지 걱정돼요."
13,말더듬,"식욕, 작은 소리 안 들림 그리고 호흡 곤란로 고생하고 있어요. 말더듬 가능성이 있을까요?"
14,"굴절이상(근시, 원시, 난시)","최근 실어증, 폐출혈 그리고 언어장애가(이) 심해졌어요. 굴절이상(근시, 원시, 난시)인가요?"
15,저시력,"난청, 울음 소리 약해짐, 혈압 저하 그리고 의식 소실 증상이 나타나고 있어요. 혹시 저시력일까요?"
16,유행각결막염,"몸에 미세한 운동 장애, 거품이나 피가 섞인 가래, 연하곤란 그리고 감각저하 같은 증상이 나타났습니다. 유행각결막염인지 걱정돼요."
17,덧눈꺼풀,자세 및 보행이상 때문에 일상생활이 힘들어요. 덧눈꺼풀을 의심해볼 수 있나요?
18,노안,"잘 낫지 않는 현상, 입안통증, 인두통 그리고 피부 황달 증상이 나타나고 있어요. 혹시 노안일까요?"
19,황반변성,"최근 암점, 얼굴마비 그리고 눈꺼풀부종가(이) 심해졌어요. 황반변성인가요?"
20,눈꺼풀처짐(안검하수),"갈증, 날카로운 통증 그리고 배뇨가 잘 되지 않음 증상이 나타나고 있어요. 혹시 눈꺼풀처짐(안검하수)일까요?"
22,안외상(전방출혈),"허약감, 삭대 유발 그리고 종창로 고생하고 있어요. 안외상(전방출혈) 가능성이 있을까요?"
23,안외상(각막찰과상),몸에 안구 돌출 그리고 빠른 심장박동 같은 증상이 나타났습니다. 안외상(각막찰과상)인지 걱정돼요.
24,안외상(각막화상),몸에 근력 감소 같은 증상이 나타났습니다. 안외상(각막화상)인지 걱정돼요.
25,안외상(안와골절),"몸에 열 자극에 의한 통증, 부비동염, 작은 소리 안 들림 그리고 간간히 찌르는 느낌 같은 증상이 나타났습니다. 안외상(안와골절)인지 걱정돼요."
26,안외상(천공 외상),신경 마비 그리고 상처로 고생하고 있어요. 안외상(천공 외상) 가능성이 있을까요?
27,안외상(외상성 망막박리),몸에 무기력증 그리고 보채거나 처진 모습 같은 증상이 나타났습니다. 안외상(외상성 망막박리)인지 걱정돼요.
29,안외상(외상성 백내장 및 수정체 이탈),의식 소실 증상이 나타나고 있어요. 혹시 안외상(외상성 백내장 및 수정체 이탈)일까요?
30,백내장,"최근 삼킨 후 목에 이상감, 각막확장 그리고 하지불안증후군가(이) 심해졌어요. 백내장인가요?"
31,포도막염,"간 질환, 하지불안증후군 그리고 마른기침 때문에 일상생활이 힘들어요. 포도막염을 의심해볼 수 있나요?"
32,비문증(날파리증),"시야 변화, 외이도 막힘 그리고 상처 증상이 나타나고 있어요. 혹시 비문증(날파리증)일까요?"
33,당뇨망막병증,"몸에 울혈성 간비대, 저칼륨성 마비, 배변장애 그리고 쌕쌕거리는 천명음 같은 증상이 나타났습니다. 당뇨망막병증인지 걱정돼요."
34,녹내장,"귀통증, 귀가 안 들림 그리고 식사장애 증상이 나타나고 있어요. 혹시 녹내장일까요?"
35,눈꺼풀속말림과 겉말림,"직장탈출증, 열감 그리고 피부 색깔 변화 때문에 일상생활이 힘들어요. 눈꺼풀속말림과 겉말림을 의심해볼 수 있나요?"
36,알레르기결막염,"최근 시력 손실, 만성 복통 그리고 여성호르몬 부족가(이) 심해졌어요. 알레르기결막염인가요?"
37,다래끼와 콩다래끼,"소화불량증, 가성낭종, 무릎쪽으로 퍼져가는 증상 그리고 화농성 간농양로 고생하고 있어요. 다래끼와 콩다래끼 가능성이 있을까요?"
38,크루프(후두염),"미세한 운동 장애, 발바닥 통증, 혼수 그리고 시각 장애로 고생하고 있어요. 크루프(후두염) 가능성이 있을까요?"
39,유소아 난청,"소리가 잘 안 들리는, 인지기능장애 그리고 한쪽 귀만 안 들리는로 고생하고 있어요. 유소아 난청 가능성이 있을까요?"
40,노인성난청,"최근 무력감, 코 심하게 벌렁거림 그리고 맥박수 증가가(이) 심해졌어요. 노인성난청인가요?"
41,외상성 고막 천공,"최근 인후두 이물감, 급성 호흡곤란 그리고 목의 동통가(이) 심해졌어요. 외상성 고막 천공인가요?"
42,성대결절,"최근 급성 요축적, 소리의 방향을 감지하기 어려움, 발음 장애 그리고 신경과민가(이) 심해졌어요. 성대결절인가요?"
43,코피(비출혈),"최근 쇼크, 장점막 그리고 끈적끈적한 점액성 분비물가(이) 심해졌어요. 코피(비출혈)인가요?"
44,중이염,"간농양, 인후두 이물감 그리고 음성변화 증상이 나타나고 있어요. 혹시 중이염일까요?"
