disease_id,disease_name,generated_sentence
1,뇌수막염,"월경 곤란, 만성 복통 그리고 가슴이 두근거림 증상이 나타나고 있어요. 혹시 뇌수막염일까요?"
2,추간판탈출증(디스크),"언어장애, 삼킴곤란 그리고 찌릿찌릿한 통증로 고생하고 있어요. 추간판탈출증(디스크) 가능성이 있을까요?"
3,파킨슨병,"삼킴 지연, 힐끔거림 그리고 의식의 변화 때문에 일상생활이 힘들어요. 파킨슨병을 의심해볼 수 있나요?"
4,보툴리눔독소증,"몸에 한쪽 팔다리 감각저하, 저림 그리고 신부전 같은 증상이 나타났습니다. 보툴리눔독소증인지 걱정돼요."
5,두통,"감각장애, 부어오림 그리고 피부 감각신경 자극로 고생하고 있어요. 두통 가능성이 있을까요?"
6,뇌하수체기능저하증(소아),"종창(부종, 부기), 신경인성 폐부종 그리고 안면피부 부종로 고생하고 있어요. 뇌하수체기능저하증(소아) 가능성이 있을까요?"
7,얼굴마비(말초성 마비),"한쪽 팔다리 감각저하, 통증 그리고 담낭 팽팽함 때문에 일상생활이 힘들어요. 얼굴마비(말초성 마비)을 의심해볼 수 있나요?"
8,얼굴마비(중추성 마비),"몸에 산후 우울증, 충동조절장애, 식사 중 혹은 식후에 기침 그리고 혈액 나오기 같은 증상이 나타났습니다. 얼굴마비(중추성 마비)인지 걱정돼요."
9,얼굴마비,"최근 혈압저하, 시야결손 그리고 위장장애가(이) 심해졌어요. 얼굴마비인가요?"
10,시신경염,"얼굴마비, 조이는 느낌, 동공운동장애 그리고 실어증로 고생하고 있어요. 시신경염 가능성이 있을까요?"
11,우울감,"최근 과도한 주간 졸림증, 정서적 불안감 그리고 냄새 잘 못 맡음가(이) 심해졌어요. 우울감인가요?"
12,실어증,"최근 인두통, 눈동자, 뇌부종 그리고 말가(이) 심해졌어요. 실어증인가요?"
13,말더듬,"몸에 환각, 변 후 변이 남아있는 느낌, 상태 그리고 전신쇠약 같은 증상이 나타났습니다. 말더듬인지 걱정돼요."
14,"굴절이상(근시, 원시, 난시)","최근 근력 약화, 혼수, 유아비만 그리고 저린 감각이나 차가움가(이) 심해졌어요. 굴절이상(근시, 원시, 난시)인가요?"
15,저시력,"몸에 과다한 눈물흘림, 입과 목이 마름 그리고 출혈 같은 증상이 나타났습니다. 저시력인지 걱정돼요."
16,유행각결막염,"몸에 하지 근력 약화, 야뇨(야간뇨) 그리고 눈꺼풀 처짐 같은 증상이 나타났습니다. 유행각결막염인지 걱정돼요."
17,덧눈꺼풀,"몸에 잠김, 복부의 불편함 그리고 환각 같은 증상이 나타났습니다. 덧눈꺼풀인지 걱정돼요."
18,노안,"몸에 시력장애, 눈물이 줄거나 늘어짐, 명치 통증 그리고 눈곱 같은 증상이 나타났습니다. 노안인지 걱정돼요."
19,황반변성,"열감, 베르니케 부위, 띠 모양 그리고 근육 마비 때문에 일상생활이 힘들어요. 황반변성을 의심해볼 수 있나요?"
20,눈꺼풀처짐(안검하수),"편측무시, 뼈성장 지연, 발음 장애 그리고 조이는 느낌 증상이 나타나고 있어요. 혹시 눈꺼풀처짐(안검하수)일까요?"
21,색각이상(색맹),"최근 콜라색 소변, 숨참는 느낌 그리고 축축한 피부가(이) 심해졌어요. 색각이상(색맹)인가요?"
22,안외상(전방출혈),"최근 외과적 절제, 쌕쌕거리는 숨소리, 신체적 불편감 그리고 발한가(이) 심해졌어요. 안외상(전방출혈)인가요?"
23,안외상(각막찰과상),"뺨의 감각이상, 입 숨, 장 운동 저하 그리고 건조함 증상이 나타나고 있어요. 혹시 안외상(각막찰과상)일까요?"
24,안외상(각막화상),"몸에 숨참는 느낌, 건조감, 신체 피로감 그리고 눈꺼풀부종 같은 증상이 나타났습니다. 안외상(각막화상)인지 걱정돼요."
25,안외상(안와골절),"몸에 비출혈, 월경 불출, 코 모양이 삐뚤어짐 그리고 고름집 같은 증상이 나타났습니다. 안외상(안와골절)인지 걱정돼요."
26,안외상(천공 외상),"콧줄을 통한 위의 감압, 관절에서 소리 그리고 어지럼증 증상이 나타나고 있어요. 혹시 안외상(천공 외상)일까요?"
27,안외상(외상성 망막박리),"언어의 장애, 명치 작열감 그리고 근무력증 때문에 일상생활이 힘들어요. 안외상(외상성 망막박리)을 의심해볼 수 있나요?"
